"id_turno";"nombre";"id_ciclo";"createdAt";"updatedAt"
1;"ABRIL";57;"2024-06-04 00:00:00";"2024-06-04 00:00:00"
2;"JULIO";57;"2024-06-04 00:00:00";"2024-06-04 00:00:00"
3;"SEPTIEMBRE";57;"2024-06-04 00:00:00";"2024-06-04 00:00:00"
4;"DICIEMBRE";57;"2024-06-04 00:00:00";"2024-06-04 00:00:00"
5;"FEBRERO";57;"2024-06-04 00:00:00";"2024-06-04 00:00:00"
6;"ABRIL";56;"2024-06-04 00:00:00";"2024-06-04 00:00:00"
7;"JULIO";56;"2024-06-04 00:00:00";"2024-06-04 00:00:00"
8;"SEPTIEMBRE";56;"2024-06-04 00:00:00";"2024-06-04 00:00:00"
9;"DICIEMBRE";56;"2024-06-04 00:00:00";"2024-06-04 00:00:00"
10;"FEBRERO";56;"2024-06-04 00:00:00";"2024-06-04 00:00:00"
11;"ABRIL";55;"2024-06-04 00:00:00";"2024-06-04 00:00:00"
12;"JULIO";55;"2024-06-04 00:00:00";"2024-06-04 00:00:00"
13;"SEPTIEMBRE";55;"2024-06-04 00:00:00";"2024-06-04 00:00:00"
14;"DICIEMBRE";55;"2024-06-04 00:00:00";"2024-06-04 00:00:00"
15;"FEBRERO";55;"2024-06-04 00:00:00";"2024-06-04 00:00:00"
16;"ABRIL";54;"2024-06-04 00:00:00";"2024-06-04 00:00:00"
17;"JULIO";54;"2024-06-04 00:00:00";"2024-06-04 00:00:00"
18;"SEPTIEMBRE";54;"2024-06-04 00:00:00";"2024-06-04 00:00:00"
19;"DICIEMBRE";54;"2024-06-04 00:00:00";"2024-06-04 00:00:00"
20;"FEBRERO";54;"2024-06-04 00:00:00";"2024-06-04 00:00:00"
